商品名称,商品毛重.kg.,奶源产地,国产或进口,适用年龄.岁.,包装单位,配方,分类,段位,团购价.元.,评价量
伊利,0.8,澳洲/新西兰,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,155,1062
圣元,1.2,澳洲/新西兰,国产,1-3岁,袋装,常规配方奶粉,牛奶粉,3段,155,1060
惠氏,1.1,爱尔兰,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,155,1040
澳优,0.8,荷兰,国产,0.5-1岁,盒装,常规配方奶粉,牛奶粉,2段,155,1040
伊利,0.8,澳洲/新西兰,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,155,1039
贝因美,1,其它　,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,156,1031
伊利,1.2,澳洲/新西兰,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,156,1024
雅培,1.2,其它　,国产,0-0.5岁,盒装,常规配方奶粉,牛奶粉,1段,156,1014
多美滋,0.9,其它　,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,158,1009
贝因美,1,其它　,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,156,1009
佳贝艾特,0.15,荷兰,进口,0.5-1岁,盒装,常规配方奶粉,羊奶粉,2段,156,1009
贝因美,1.1,中国大陆,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,158,1008
宝乐滋,0.9,中国大陆,国产,1-3岁,桶装,常规配方奶粉,羊奶粉,3段,158,1002
伊利,1.2,澳洲/新西兰,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,159,979
诺优能,1.6,荷兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,159,974
合生元,0.9,法国,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,159,974
合生元,1.5,其它　,进口,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,160,964
飞鹤,1.11,中国大陆,国产,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,160,958
君乐宝,0.8,中国大陆,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,161,951
惠氏,0.9,其它　,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,162,937
美赞臣,2.2,荷兰,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,162,936
雅培,1.2,其它　,国产,0.5-1岁,箱装,常规配方奶粉,牛奶粉,2段,163,930
惠氏,0.9,其它　,进口,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,162.5,930
伊利,1.2,澳洲/新西兰,国产,0-0.5岁,盒装,常规配方奶粉,牛奶粉,1段,165,927
美赞臣,1.36,其它　,国产,0-0.5岁,盒装,常规配方奶粉,牛奶粉,1段,165,926
完达山,1,中国大陆,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,165,918
飞鹤,1.11,中国大陆,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,165,906
贝因美,1,中国大陆,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,166,898
